score_id,ico_sector,ref_period_start,ref_period_end,complaint_count_used,avg_3period_used,volume_factor,trend_direction,spike_active,sector_risk_modifier,data_lag,stale_flag,computed_at
I2-001,ALL SECTORS (total),01/04/2024,31/03/2025,40000,37824.7,1.058,Stable,FALSE,1.058,13,TRUE,17/04/2026
I2-002,Central Government,01/04/2024,31/03/2025,2262,2008.0,1.126,Rising,FALSE,1.239,13,TRUE,17/04/2026
I2-003,Charitable and voluntary,01/04/2024,31/03/2025,778,733.0,1.061,Stable,FALSE,1.061,13,TRUE,17/04/2026
I2-004,Education and childcare,01/04/2024,31/03/2025,1959,1990.3,0.984,Falling,FALSE,0.886,13,TRUE,17/04/2026
I2-005,"Finance, insurance and credit",01/04/2024,31/03/2025,4866,4676.7,1.04,Stable,FALSE,1.04,13,TRUE,17/04/2026
I2-006,General business,01/04/2024,31/03/2025,3926,4204.7,0.934,Falling,FALSE,0.841,13,TRUE,17/04/2026
I2-007,Health,01/04/2024,31/03/2025,4826,4230.0,1.141,Rising,FALSE,1.255,13,TRUE,17/04/2026
I2-008,Justice,01/04/2024,31/03/2025,2087,1936.3,1.078,Rising,FALSE,1.186,13,TRUE,17/04/2026
I2-009,Land or property services,01/04/2024,31/03/2025,2045,1917.0,1.067,Stable,FALSE,1.067,13,TRUE,17/04/2026
I2-010,Legal,01/04/2024,31/03/2025,1255,1223.0,1.026,Falling,FALSE,0.923,13,TRUE,17/04/2026
I2-011,Local government,01/04/2024,31/03/2025,3293,3089.3,1.066,Stable,FALSE,1.066,13,TRUE,17/04/2026
I2-012,Marketing,01/04/2024,31/03/2025,196,229.3,0.855,Falling,FALSE,0.769,13,TRUE,17/04/2026
I2-013,Media,01/04/2024,31/03/2025,297,241.7,1.229,Rising,FALSE,1.352,13,TRUE,17/04/2026
I2-014,Membership association,01/04/2024,31/03/2025,531,443.3,1.198,Rising,FALSE,1.318,13,TRUE,17/04/2026
I2-015,Online Technology and Telecoms,01/04/2024,31/03/2025,4246,4109.3,1.033,Stable,FALSE,1.033,13,TRUE,17/04/2026
I2-016,Political,01/04/2024,31/03/2025,146,108.0,1.352,Rising,FALSE,1.487,13,TRUE,17/04/2026
I2-017,Regulators,01/04/2024,31/03/2025,335,316.3,1.059,Stable,FALSE,1.059,13,TRUE,17/04/2026
I2-018,Religious,01/04/2024,31/03/2025,67,54.7,1.225,Rising,FALSE,1.348,13,TRUE,17/04/2026
I2-019,Retail and manufacture,01/04/2024,31/03/2025,3135,3077.0,1.019,Falling,FALSE,0.917,13,TRUE,17/04/2026
I2-020,Social care,01/04/2024,31/03/2025,354,295.7,1.197,Rising,FALSE,1.317,13,TRUE,17/04/2026
I2-021,Transport and leisure,01/04/2024,31/03/2025,2307,2058.3,1.121,Rising,FALSE,1.233,13,TRUE,17/04/2026
I2-022,Utilities,01/04/2024,31/03/2025,1090,882.7,1.235,Rising,FALSE,1.359,13,TRUE,17/04/2026
